"","age","income","dt_customer","recency","kidhome","teenhome","numdealspurchases","numwebvisitsmonth","totalpurchases","moneyspent","fish_ratio","meat_ratio","sweet_ratio","gold_ratio","fruit_ratio","wine_ratio","web_ratio","catalog_ratio","store_ratio"
"24",48,49544,11,0,1,0,2,7,14,404,0,0.180693069306931,0,0.0569306930693069,0,0.762376237623762,0.357142857142857,0.0714285714285714,0.571428571428571
"25",55,57731,12,0,0,1,4,6,22,704,0.0923295454545455,0.426136363636364,0.0113636363636364,0.0625,0.0298295454545455,0.377840909090909,0.363636363636364,0.363636363636364,0.272727272727273
"26",59,33168,12,0,0,1,3,7,7,122,0,0.30327868852459,0.00819672131147541,0.0245901639344262,0.00819672131147541,0.655737704918033,0.285714285714286,0.142857142857143,0.571428571428571
"29",68,35340,10,1,1,1,2,5,5,45,0,0.266666666666667,0.0222222222222222,0.111111111111111,0,0.6,0.4,0,0.6
"30",49,73170,10,1,0,0,1,2,15,726,0.068870523415978,0.352617079889807,0.0413223140495868,0.0440771349862259,0.239669421487603,0.253443526170799,0.333333333333333,0.266666666666667,0.4
"31",53,65808,10,1,1,1,3,6,11,272,0.0477941176470588,0.294117647058824,0.0257352941176471,0.0367647058823529,0.0257352941176471,0.56985294117647,0.454545454545455,0.0909090909090909,0.454545454545455
"32",38,79529,10,1,0,0,1,2,21,1638,0.0445665445665446,0.431013431013431,0.12026862026862,0.12026862026862,0.0256410256410256,0.258241758241758,0.19047619047619,0.380952380952381,0.428571428571429
"34",50,46374,10,1,0,1,3,8,15,446,0,0.047085201793722,0,0.0381165919282511,0,0.914798206278027,0.466666666666667,0.0666666666666667,0.466666666666667
"35",34,18351,11,1,0,0,1,7,5,43,0,0.209302325581395,0.325581395348837,0.162790697674419,0.27906976744186,0.0232558139534884,0.4,0,0.6
"36",37,95169,11,1,0,0,1,1,11,1901,0.0557601262493424,0.236191478169385,0.0105207785376118,0.0105207785376118,0.0110468174644924,0.675960021041557,0.363636363636364,0.272727272727273,0.363636363636364
"37",40,65370,11,1,0,0,1,1,18,461,0.299349240780911,0.24295010845987,0.193058568329718,0.0629067245119306,0.0477223427331887,0.154013015184382,0.111111111111111,0.166666666666667,0.722222222222222
"38",64,39228,11,1,0,0,1,4,3,20,0,0.3,0.15,0.15,0.05,0.35,0,0,1
"39",63,84865,11,1,0,0,1,4,15,1688,0.0254739336492891,0.20675355450237,0.00947867298578199,0.00947867298578199,0.00947867298578199,0.739336492890995,0.133333333333333,0.266666666666667,0.6
"40",56,61314,11,1,0,1,2,3,22,1008,0.0962301587301587,0.1875,0.170634920634921,0.170634920634921,0,0.375,0.227272727272727,0.227272727272727,0.545454545454545
"41",52,21359,11,1,1,0,2,8,5,48,0.125,0.354166666666667,0.0208333333333333,0.208333333333333,0.0416666666666667,0.25,0.4,0,0.6
"42",69,66465,11,1,0,1,3,6,32,1485,0.0255892255892256,0.137373737373737,0.0195286195286195,0.00942760942760943,0,0.808080808080808,0.34375,0.28125,0.375
"43",41,81698,11,1,0,0,1,5,15,1104,0.0271739130434783,0.104166666666667,0.144927536231884,0.0407608695652174,0.0407608695652174,0.642210144927536,0.533333333333333,0.133333333333333,0.333333333333333
"44",38,39146,11,1,1,0,3,8,8,165,0.0787878787878788,0.2,0.0727272727272727,0.0727272727272727,0.00606060606060606,0.56969696969697,0.5,0,0.5
"45",54,25959,11,1,1,1,2,6,5,56,0.125,0.214285714285714,0.0892857142857143,0.464285714285714,0.0357142857142857,0.0714285714285714,0.2,0.4,0.4
"47",51,32300,11,1,1,0,1,8,4,39,0.153846153846154,0.153846153846154,0.128205128205128,0.153846153846154,0.0769230769230769,0.333333333333333,0.25,0,0.75
"48",59,74806,12,1,0,1,2,4,14,965,0,0.258031088082902,0.0290155440414508,0.00932642487046632,0.00932642487046632,0.694300518134715,0.357142857142857,0.285714285714286,0.357142857142857
"49",54,72967,12,1,0,1,2,5,17,497,0,0.360160965794769,0,0.251509054325956,0.0704225352112676,0.317907444668008,0.411764705882353,0.117647058823529,0.470588235294118
"50",64,48904,12,1,0,1,4,8,13,371,0,0.102425876010782,0.0350404312668464,0.0727762803234501,0.0269541778975741,0.762803234501348,0.538461538461538,0.153846153846154,0.307692307692308
"51",40,14796,12,1,1,0,2,9,4,51,0.137254901960784,0.156862745098039,0.0784313725490196,0.313725490196078,0.0588235294117647,0.254901960784314,0.25,0,0.75
"52",70,66991,12,1,0,0,3,3,18,1253,0.150837988826816,0.367118914604948,0.0478850758180367,0.00957701516360734,0.028731045490822,0.39584996009577,0.222222222222222,0.444444444444444,0.333333333333333
"53",46,52195,10,2,2,1,1,8,3,17,0,0.235294117647059,0,0.0588235294117647,0,0.705882352941177,0.333333333333333,0,0.666666666666667
"54",68,90369,10,2,0,0,1,1,16,1588,0.141057934508816,0.617758186397985,0.0144836272040302,0.0107052896725441,0.0321158690176322,0.183879093198992,0.25,0.375,0.375
"55",50,18393,10,2,1,0,2,8,6,50,0.32,0.26,0,0.08,0.2,0.14,0.5,0,0.5
"56",72,47139,10,2,1,1,2,7,5,83,0,0.144578313253012,0.0240963855421687,0.27710843373494,0,0.55421686746988,0.4,0.2,0.4
"57",51,38576,10,2,0,1,1,7,4,41,0,0.170731707317073,0,0,0,0.829268292682927,0.25,0,0.75
"59",62,83715,10,2,0,0,1,0,23,926,0.161987041036717,0.439524838012959,0.0377969762419006,0.00863930885529158,0.00863930885529158,0.34341252699784,0.0869565217391304,0.347826086956522,0.565217391304348
"60",60,60597,10,2,0,1,4,7,12,893,0.0358342665173572,0.287793952967525,0.0179171332586786,0.0739081746920493,0,0.58454647256439,0.166666666666667,0.166666666666667,0.666666666666667
"61",42,6560,11,2,0,0,0,17,2,373,0.0107238605898123,0.0697050938337802,0.00804289544235925,0.702412868632708,0.0294906166219839,0.179624664879357,0.5,0,0.5
"63",56,38236,11,2,1,1,4,7,7,88,0.0227272727272727,0.204545454545455,0,0.113636363636364,0,0.659090909090909,0.428571428571429,0,0.571428571428571
"64",47,22701,11,2,1,0,1,5,4,24,0,0.375,0.166666666666667,0.208333333333333,0.166666666666667,0.0833333333333333,0.25,0,0.75
"65",50,53367,11,2,1,1,7,7,14,400,0.025,0.35,0.0075,0.0275,0.0175,0.5725,0.357142857142857,0.0714285714285714,0.571428571428571
"67",68,63915,11,2,0,2,2,5,21,789,0.0380228136882129,0.14575411913815,0,0.0190114068441065,0.00887198986058302,0.788339670468948,0.285714285714286,0.142857142857143,0.571428571428571
"68",64,82504,11,2,0,0,1,1,16,1066,0.125703564727955,0.404315196998124,0.0328330206378987,0.050656660412758,0.0469043151969981,0.339587242026266,0.1875,0.375,0.4375
"69",52,38578,11,2,1,1,3,8,6,73,0.0410958904109589,0.301369863013699,0.0410958904109589,0.0410958904109589,0.0547945205479452,0.520547945205479,0.5,0,0.5
"70",52,38578,11,2,1,1,3,8,6,73,0.0410958904109589,0.301369863013699,0.0410958904109589,0.0410958904109589,0.0547945205479452,0.520547945205479,0.5,0,0.5
"71",49,79174,11,2,0,0,1,2,18,2043,0.0944689182574645,0.25354870288791,0.0450318159569261,0.0631424375917768,0.0181106216348507,0.525697503671072,0.277777777777778,0.333333333333333,0.388888888888889
"72",62,81975,11,2,0,1,1,7,13,1588,0.113350125944584,0.115869017632242,0.0869017632241814,0.0170025188916877,0.0478589420654912,0.619017632241814,0.461538461538462,0.230769230769231,0.307692307692308
"73",47,43263,12,2,0,1,3,5,13,441,0,0.138321995464853,0.0226757369614512,0.231292517006803,0.0136054421768707,0.594104308390023,0.384615384615385,0.153846153846154,0.461538461538462
"74",54,27242,12,2,1,0,2,9,5,106,0.188679245283019,0.245283018867925,0.00943396226415094,0.367924528301887,0.160377358490566,0.0283018867924528,0.4,0,0.6
"75",53,76445,12,2,1,0,1,6,20,1410,0.099290780141844,0.219148936170213,0.0567375886524823,0.024822695035461,0.075886524822695,0.524113475177305,0.1,0.25,0.65
"77",61,34213,12,2,1,1,3,9,6,117,0.0512820512820513,0.239316239316239,0.0256410256410256,0.222222222222222,0.0341880341880342,0.427350427350427,0.5,0.166666666666667,0.333333333333333
"79",60,79143,12,2,0,0,1,3,28,1693,0.0159480212640284,0.460720614294152,0.0986414648552865,0.0189013585351447,0.0218546958062611,0.383933845245127,0.214285714285714,0.321428571428571,0.464285714285714
"80",77,27469,12,2,0,0,1,6,3,17,0.176470588235294,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.529411764705882,0,0,1
"83",67,50388,10,3,0,1,4,7,13,372,0,0.0994623655913978,0.00806451612903226,0.0913978494623656,0.0161290322580645,0.78494623655914,0.461538461538462,0.0769230769230769,0.461538461538462
"85",62,46102,10,3,2,1,1,7,3,16,0,0.0625,0,0.0625,0,0.875,0.333333333333333,0,0.666666666666667
"86",44,31859,10,3,1,0,1,7,4,48,0.3125,0.145833333333333,0.166666666666667,0.229166666666667,0.0833333333333333,0.0625,0.25,0,0.75
"87",37,23830,10,3,0,0,1,7,4,43,0.0930232558139535,0.13953488372093,0.186046511627907,0.372093023255814,0.186046511627907,0.0232558139534884,0.25,0,0.75
"88",51,24639,10,3,1,1,3,6,6,44,0,0.363636363636364,0.0909090909090909,0.0227272727272727,0.0681818181818182,0.454545454545455,0.333333333333333,0,0.666666666666667
"90",40,27255,11,3,1,0,1,7,4,37,0,0.297297297297297,0.027027027027027,0.0540540540540541,0.027027027027027,0.594594594594595,0.25,0,0.75
"92",64,77037,11,3,0,1,1,3,26,1123,0.14959928762244,0.296527159394479,0.0471950133570792,0.00890471950133571,0.0854853072128228,0.412288512911843,0.269230769230769,0.269230769230769,0.461538461538462
"93",54,24163,11,3,1,1,2,4,4,17,0.117647058823529,0.411764705882353,0.0588235294117647,0.117647058823529,0.0588235294117647,0.235294117647059,0.25,0,0.75
"95",45,72063,11,3,0,1,2,2,19,758,0.100263852242744,0.45910290237467,0.0422163588390501,0.118733509234828,0.0422163588390501,0.237467018469657,0.263157894736842,0.105263157894737,0.631578947368421
"96",62,58646,11,3,0,1,1,4,7,140,0.0428571428571429,0.314285714285714,0.0357142857142857,0.157142857142857,0.00714285714285714,0.442857142857143,0.285714285714286,0.142857142857143,0.571428571428571
"97",62,58646,11,3,0,1,1,4,7,140,0.0428571428571429,0.314285714285714,0.0357142857142857,0.157142857142857,0.00714285714285714,0.442857142857143,0.285714285714286,0.142857142857143,0.571428571428571
"98",75,47570,11,3,1,1,3,7,6,121,0,0.165289256198347,0.0165289256198347,0.256198347107438,0.00826446280991736,0.553719008264463,0.333333333333333,0.333333333333333,0.333333333333333
"99",44,80011,11,3,0,1,2,4,19,1395,0.0587813620071685,0.384229390681004,0.127598566308244,0.0731182795698925,0.0544802867383513,0.30179211469534,0.421052631578947,0.31578947368421,0.263157894736842
"100",68,54998,11,3,0,1,5,4,15,455,0.0857142857142857,0.443956043956044,0.0659340659340659,0.0175824175824176,0.0483516483516484,0.338461538461538,0.266666666666667,0.133333333333333,0.6
"101",76,60200,11,3,0,1,6,6,19,685,0,0.192700729927007,0.00875912408759124,0.037956204379562,0.0277372262773723,0.732846715328467,0.31578947368421,0.105263157894737,0.578947368421053
"102",42,63211,12,3,0,0,2,2,18,1173,0.174765558397272,0.391304347826087,0.0221653878942881,0.123614663256607,0.164535379369139,0.123614663256607,0.166666666666667,0.444444444444444,0.388888888888889
"103",51,48432,12,3,0,1,5,8,14,424,0.00943396226415094,0.117924528301887,0.00707547169811321,0.0990566037735849,0.00707547169811321,0.759433962264151,0.5,0.0714285714285714,0.428571428571429
"106",75,62845,12,3,1,1,11,8,17,1178,0,0.0382003395585739,0,0.0288624787775891,0,0.932937181663837,0.176470588235294,0.235294117647059,0.588235294117647
"107",75,62845,12,3,1,1,11,8,17,1178,0,0.0382003395585739,0,0.0288624787775891,0,0.932937181663837,0.176470588235294,0.235294117647059,0.588235294117647
"109",34,74214,12,3,0,0,1,5,15,1711,0.0502630040911747,0.319696084161309,0.0578609000584454,0.0192869666861484,0.0485096434833431,0.504383401519579,0.533333333333333,0.133333333333333,0.333333333333333
"110",44,96547,10,4,0,0,0,2,21,809,0.0642768850432633,0.15451174289246,0.124845488257108,0.0766378244746601,0.0259579728059332,0.553770086526576,0.333333333333333,0.285714285714286,0.380952380952381
"112",54,50447,10,4,2,0,1,6,7,148,0.0135135135135135,0.162162162162162,0.0202702702702703,0.182432432432432,0.0472972972972973,0.574324324324324,0.428571428571429,0.142857142857143,0.428571428571429
"113",71,37716,10,4,0,1,2,7,8,188,0.0319148936170213,0.218085106382979,0.0106382978723404,0.218085106382979,0.00531914893617021,0.515957446808511,0.5,0.125,0.375
"115",49,37368,11,4,1,0,1,6,3,30,0.0666666666666667,0.366666666666667,0.0666666666666667,0.333333333333333,0.0666666666666667,0.1,0.333333333333333,0,0.666666666666667
"116",69,67225,11,4,0,1,3,5,20,868,0.0529953917050691,0.370967741935484,0.00806451612903226,0.164746543778802,0.0403225806451613,0.362903225806452,0.35,0.1,0.55
"119",75,81698,11,4,0,0,1,1,24,1008,0.110119047619048,0.515873015873016,0.12202380952381,0.0466269841269841,0.0277777777777778,0.177579365079365,0.125,0.333333333333333,0.541666666666667
"120",56,70566,11,4,0,1,2,3,20,757,0.110964332892999,0.284015852047556,0.0369881109643329,0.0277410832232497,0.0369881109643329,0.50330250990753,0.3,0.25,0.45
"122",62,71434,11,4,0,1,3,4,18,1400,0.122857142857143,0.155,0.0685714285714286,0.12,0.0257142857142857,0.507857142857143,0.388888888888889,0.222222222222222,0.388888888888889
"123",46,33039,11,4,1,0,1,5,6,78,0.102564102564103,0.153846153846154,0.102564102564103,0.153846153846154,0.102564102564103,0.384615384615385,0.333333333333333,0,0.666666666666667
"124",46,33039,11,4,1,0,1,5,6,78,0.102564102564103,0.153846153846154,0.102564102564103,0.153846153846154,0.102564102564103,0.384615384615385,0.333333333333333,0,0.666666666666667
"126",66,49967,11,4,0,1,3,7,12,306,0.0130718954248366,0.225490196078431,0.0392156862745098,0.00980392156862745,0.0196078431372549,0.69281045751634,0.5,0.0833333333333333,0.416666666666667
"127",48,53359,11,4,1,1,4,7,10,257,0.0116731517509728,0.116731517509728,0.0233463035019455,0.159533073929961,0.0155642023346304,0.673151750972763,0.5,0.1,0.4
"128",53,49505,11,4,1,1,9,8,20,751,0.0252996005326232,0.133155792276964,0,0.0372836218375499,0,0.804260985352863,0.5,0.1,0.4
"129",78,68657,11,4,0,0,1,7,17,1196,0.0994983277591973,0.3938127090301,0.0568561872909699,0.0183946488294314,0.028428093645485,0.403010033444816,0.176470588235294,0.294117647058824,0.529411764705882
"130",70,72071,11,4,0,1,3,2,17,1338,0.112107623318386,0.224215246636771,0.103139013452915,0.112107623318386,0.0515695067264574,0.396860986547085,0.294117647058824,0.235294117647059,0.470588235294118
"131",70,72071,11,4,0,1,3,2,17,1338,0.112107623318386,0.224215246636771,0.103139013452915,0.112107623318386,0.0515695067264574,0.396860986547085,0.294117647058824,0.235294117647059,0.470588235294118
"132",57,59235,11,4,1,0,3,7,25,1128,0.0709219858156028,0.415780141843972,0,0.0806737588652482,0.0354609929078014,0.397163120567376,0.44,0.08,0.48
"136",52,69209,12,4,0,0,2,4,14,1782,0.128507295173962,0.476430976430976,0.0269360269360269,0.0718294051627385,0.0179573512906846,0.278338945005612,0.357142857142857,0.214285714285714,0.428571428571429
"138",37,74004,10,5,0,0,1,3,14,1658,0.0253317249698432,0.337756332931242,0.106151990349819,0.0289505428226779,0.0289505428226779,0.472858866103739,0.285714285714286,0.428571428571429,0.285714285714286
"139",37,30390,11,5,0,0,1,6,5,80,0.3125,0.15,0.0125,0.25,0.15,0.125,0.4,0,0.6
"140",39,21355,11,5,1,0,2,6,5,68,0,0.205882352941176,0.0735294117647059,0.455882352941176,0.191176470588235,0.0735294117647059,0.4,0.2,0.4
"141",55,26304,11,5,1,0,1,7,3,16,0.125,0.3125,0,0.25,0.0625,0.25,0.333333333333333,0,0.666666666666667
"142",35,85710,11,5,0,0,1,2,25,1062,0.0273069679849341,0.329566854990584,0.0282485875706215,0.0310734463276836,0.0188323917137476,0.564971751412429,0.24,0.36,0.4
"143",50,102692,11,5,0,0,1,2,28,1112,0.0287769784172662,0.399280575539568,0.154676258992806,0.133093525179856,0.133093525179856,0.151079136690647,0.214285714285714,0.321428571428571,0.464285714285714
"144",53,58350,11,5,0,1,4,6,23,1001,0.115884115884116,0.205794205794206,0.0799200799200799,0.0799200799200799,0.025974025974026,0.492507492507492,0.347826086956522,0.130434782608696,0.521739130434783
"145",46,7500,12,5,1,1,4,6,6,57,0.228070175438596,0.0701754385964912,0.0701754385964912,0.43859649122807,0.087719298245614,0.105263157894737,0.333333333333333,0.166666666666667,0.5
"146",40,18890,12,5,0,0,1,6,3,35,0.2,0.0285714285714286,0.0571428571428571,0.428571428571429,0.114285714285714,0.171428571428571,0,0.333333333333333,0.666666666666667
"147",38,20425,12,5,1,0,2,7,5,57,0.0526315789473684,0.087719298245614,0.280701754385965,0.298245614035088,0.210526315789474,0.0701754385964912,0.4,0,0.6
"148",38,20425,12,5,1,0,2,7,5,57,0.0526315789473684,0.087719298245614,0.280701754385965,0.298245614035088,0.210526315789474,0.0701754385964912,0.4,0,0.6
"149",67,41437,12,5,1,1,1,7,4,32,0,0.0625,0,0.03125,0,0.90625,0.25,0,0.75
"152",65,79823,10,6,0,1,1,2,22,1518,0.075098814229249,0.250329380764163,0.0480895915678524,0.0283267457180501,0.0480895915678524,0.550065876152833,0.272727272727273,0.409090909090909,0.318181818181818
"153",70,85683,10,6,0,0,1,1,16,1789,0.0251537171604248,0.173840134153158,0.0385690329793181,0.0285075461151481,0.00950251537171604,0.724427054220235,0.125,0.25,0.625
"154",59,47025,10,6,1,1,1,7,3,20,0,0.15,0,0.05,0,0.8,0.333333333333333,0,0.666666666666667
"155",48,68397,11,6,0,1,1,3,20,1416,0.0120056497175141,0.32909604519774,0.00918079096045198,0.0564971751412429,0.0564971751412429,0.536723163841808,0.3,0.45,0.25
"156",40,38175,11,6,1,0,3,7,8,153,0.0130718954248366,0.450980392156863,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.457516339869281,0.375,0.125,0.5
"157",52,46423,11,6,1,1,3,7,6,92,0,0.173913043478261,0,0.0869565217391304,0,0.739130434782609,0.333333333333333,0,0.666666666666667
"158",52,46423,11,6,1,1,3,7,6,92,0,0.173913043478261,0,0.0869565217391304,0,0.739130434782609,0.333333333333333,0,0.666666666666667
"161",45,60152,11,6,0,1,1,3,22,943,0.0911983032873807,0.31813361611877,0.0615058324496288,0.0965005302226935,0.088016967126193,0.344644750795334,0.272727272727273,0.181818181818182,0.545454545454545
"165",62,56181,11,6,0,1,1,4,13,393,0.0203562340966921,0.175572519083969,0.111959287531807,0.122137404580153,0.262086513994911,0.307888040712468,0.307692307692308,0.153846153846154,0.538461538461538
"166",34,24279,12,6,0,0,1,8,8,263,0.0760456273764259,0.0798479087452472,0.23574144486692,0.4106463878327,0.136882129277567,0.0608365019011407,0.5,0.125,0.375
"167",55,68462,12,6,0,0,1,1,14,1670,0.0502994011976048,0.470059880239521,0.0766467065868263,0.0287425149700599,0.0383233532934132,0.335928143712575,0.214285714285714,0.214285714285714,0.571428571428571
"168",48,55424,12,6,0,1,4,6,21,877,0.0114025085518814,0.209806157354618,0.0604332953249715,0.122006841505131,0.0695553021664766,0.526795895096921,0.333333333333333,0.238095238095238,0.428571428571429
"169",51,49094,12,6,0,1,5,6,15,502,0.0219123505976096,0.0756972111553785,0.0159362549800797,0.137450199203187,0,0.749003984063745,0.4,0.2,0.4
"170",63,59184,12,6,0,1,3,5,24,1072,0.24160447761194,0.105410447761194,0.140858208955224,0.0615671641791045,0.132462686567164,0.318097014925373,0.25,0.25,0.5
"172",64,30522,12,6,0,1,5,2,12,326,0.058282208588957,0.254601226993865,0.0337423312883436,0.0797546012269939,0.0245398773006135,0.549079754601227,0.0833333333333333,0.166666666666667,0.75
"173",47,31878,10,7,0,1,1,3,5,70,0.142857142857143,0.0714285714285714,0.0714285714285714,0.328571428571429,0.0571428571428571,0.328571428571429,0.2,0,0.8
"174",32,83528,10,7,0,0,1,1,22,1650,0.0812121212121212,0.410909090909091,0.0266666666666667,0.0890909090909091,0.0709090909090909,0.321212121212121,0.181818181818182,0.454545454545455,0.363636363636364
"176",46,68092,11,7,0,0,2,5,18,1281,0.0608899297423888,0.161592505854801,0.0281030444964871,0.0374707259953162,0.0468384074941452,0.665105386416862,0.111111111111111,0.333333333333333,0.555555555555556
"177",52,53761,11,7,1,1,6,5,11,325,0.04,0.233846153846154,0.0215384615384615,0.218461538461538,0,0.486153846153846,0.363636363636364,0.363636363636364,0.272727272727273
"178",51,52845,11,7,1,0,3,6,22,936,0.138888888888889,0.311965811965812,0.0438034188034188,0.0683760683760684,0.0267094017094017,0.41025641025641,0.363636363636364,0.363636363636364,0.272727272727273
"179",48,24027,11,7,1,0,2,8,5,48,0.229166666666667,0.229166666666667,0,0.104166666666667,0.145833333333333,0.291666666666667,0.4,0,0.6
"184",49,86836,12,7,0,0,1,5,22,557,0,0.490125673249551,0.0377019748653501,0.11310592459605,0.0377019748653501,0.321364452423698,0.272727272727273,0.454545454545455,0.272727272727273
"185",52,30467,10,8,1,0,1,7,3,24,0.0833333333333333,0.333333333333333,0.208333333333333,0.208333333333333,0.125,0.0416666666666667,0.333333333333333,0,0.666666666666667
"186",72,54549,10,8,0,1,2,7,10,233,0,0.0257510729613734,0,0.0386266094420601,0.00858369098712446,0.927038626609442,0.5,0.1,0.4
"189",61,72968,11,8,0,0,1,3,18,1958,0.0740551583248212,0.302349336057201,0.0188968335035751,0.0280898876404494,0.0188968335035751,0.557711950970378,0.277777777777778,0.277777777777778,0.444444444444444
"190",71,48686,11,8,1,2,1,8,3,20,0.1,0.35,0,0.05,0,0.5,0.333333333333333,0,0.666666666666667
"191",34,73687,11,8,0,0,1,2,21,1627,0.133988936693301,0.309157959434542,0.00799016594960049,0.111247695144438,0.0940381069452981,0.343577135832821,0.142857142857143,0.428571428571429,0.428571428571429
"192",80,82716,11,8,0,0,1,2,27,1167,0.012853470437018,0.195372750642674,0.126820908311911,0.0188517566409597,0.126820908311911,0.519280205655527,0.222222222222222,0.296296296296296,0.481481481481481
"193",43,35523,11,8,1,0,2,7,6,66,0.181818181818182,0.333333333333333,0.0757575757575758,0.166666666666667,0.0757575757575758,0.166666666666667,0.5,0,0.5
"194",49,60554,11,8,1,0,2,6,21,811,0.135635018495684,0.093711467324291,0.0184956843403206,0.0184956843403206,0.00863131935881628,0.725030826140567,0.380952380952381,0.19047619047619,0.428571428571429
"196",59,61559,11,8,0,1,1,3,16,530,0.060377358490566,0.166037735849057,0.0264150943396226,0.0641509433962264,0.156603773584906,0.526415094339623,0.25,0.125,0.625
"197",62,71670,11,8,0,0,1,6,14,1766,0,0.072480181200453,0,0.0906002265005662,0.00906002265005663,0.827859569648924,0.357142857142857,0.214285714285714,0.428571428571429
"198",73,67680,11,8,0,1,1,5,18,606,0,0.0792079207920792,0.0099009900990099,0.0099009900990099,0,0.900990099009901,0.388888888888889,0.166666666666667,0.444444444444444
"199",43,54386,11,8,0,1,2,3,15,470,0.131914893617021,0.136170212765957,0.0446808510638298,0.0531914893617021,0.0446808510638298,0.58936170212766,0.2,0.133333333333333,0.666666666666667
"200",71,64108,11,8,0,1,4,5,26,1099,0.0118289353958144,0.078252957233849,0.0191082802547771,0.0191082802547771,0.00909918107370337,0.862602365787079,0.230769230769231,0.346153846153846,0.423076923076923
"202",72,47958,11,8,0,1,2,5,14,407,0.0368550368550369,0.216216216216216,0.00737100737100737,0.0540540540540541,0.027027027027027,0.658476658476658,0.428571428571429,0.214285714285714,0.357142857142857
"203",64,67716,11,8,0,1,4,5,24,1016,0.0610236220472441,0.213582677165354,0.00885826771653543,0.0551181102362205,0.139763779527559,0.521653543307087,0.291666666666667,0.166666666666667,0.541666666666667
"206",55,48752,12,8,1,1,5,9,12,316,0.224683544303797,0.316455696202532,0.0474683544303797,0,0.180379746835443,0.231012658227848,0.5,0.0833333333333333,0.416666666666667
"207",36,15716,12,8,1,0,3,8,7,92,0.0869565217391304,0.326086956521739,0.0760869565217391,0.282608695652174,0.0543478260869565,0.173913043478261,0.428571428571429,0,0.571428571428571
